Name,Address,City,State,Zip,Phone,Notes,Membership
99 Ranch,10780 Fairfax Boulevard,Fairfax,VA,22030,571-616-8899,Asian,
Aldi,720 Cabela Drive,Bristol,VA,24202,,,
Aldi,2265 N Franklin Street,Christiansburg,VA,24073,,,
Aldi,1521 Hershberger Road NW,Roanoke,VA,24012,704-727-2755,,
Aldi,2617 Lakeside Drive,Lynchburg,VA,24501,,,
Aldi,841 Shenandoah Village Drive,Waynesboro,VA,22980,833-480-1055,,
Aldi,113 George Cochran Parkway,Staunton,VA,24401,833-480-1029,,
Aldi,1990 Country Club Road,Harrisonburg,VA,22802,833-480-1031,,
Aldi,7500 Harpers Green Way,Chesterfield,VA,23832,833-480-1065,,
Aldi,12431 Hull Street Road,Midlothian,VA,23112,833-480-1058,,
Aldi,14381 Winterview Parkway,Midlothian,VA,23113,804-201-9075,,
Aldi,12390 West Broad Street,Henrico,VA,23233,855-480-1010,,
Aldi,1670 Mall Drive,North Chesterfield,VA,23235,833-480-1006,,
Aldi,1776 North Parham Road,Henrico,VA,23229,833-480-1057,,
Aldi,7319 Forest Hill Avenue,Richmond,VA,23225,833-480-1022,,
Aldi,11100 Iron Bridge Road,Chesterfield,VA,23831,833-480-1014,,
Aldi,6295 West Broad Street,Richmond,VA,23230,833-480-1004,,
Aldi,8951 Staples Mill Road,Henrico,VA,23228,833-480-1002,,
Aldi,927 Myers Street,Richmond,VA,23230,833-480-1007,,
Aldi,465 Charles Dimmock Parkway,Colonial Heights,VA,23834,833-480-1056,,
Aldi,7003 Mechanicsville Turnpike,Mechanicsville,VA,23111,833-480-1021,,
Aldi,1504 Richmond Road,Williamsburg,VA,23185,833-480-1023,,
Aldi,7176 George Washington Memorial Highway,Gloucester,VA,23061,833-480-1028,,
Aldi,549 Bland Boulevard,Newport News,VA,23602,833-480-1011,,
Aldi,11975 Jefferson Avenue,Newport News,VA,23606,833-480-1017,,
Aldi,1920 N Main Street,Suffolk,VA,23434,833-480-1063,,
Aldi,1980 Saville Row,Hampton,VA,23666,833-480-1026,,
Aldi,4107 Portsmouth Boulevard,Chesapeake,VA,23321,833-480-1012,,
Aldi,5811 West High Street,Portsmouth,VA,23703,833-480-1008,,
Aldi,730 West 21st Street,Norfolk,VA,23517,804-201-9075,,
Aldi,1269 Cedar Road,Chesapeake,VA,23322,833-480-1024,,
Aldi,1050 N Military Highway,Norfolk,VA,23502,804-201-9075,,
Aldi,1256 Executive Boulevard,Chesapeake,VA,23320,833-480-1052,,
Aldi,4803 Shore Drive,Virginia Beach,VA,23455,833-480-1025,,
